ts	tag	url	leader	alerts_processed	sink_q	sink_drops	verdict_n	v_p50	v_p95	v_p99	notify_n	n_p50	n_p95	n_p99	pg_conn	redis_alert_kb	redis_cache_kb	sse
1789186278.237542400	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186288.086581000	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186297.950918200	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186307.725216400	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186317.545676000	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186327.302912800	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186337.110088200	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186346.895887700	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186356.710754900	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186366.533563200	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186376.294043700	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186386.175201700	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186395.944683600	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186405.719465700	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186415.468549400	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186425.247020100	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186434.968713600	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186444.743410200	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186454.538262400	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186464.914675200	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186475.054587300	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186484.846971800	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186494.729825700	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186504.525941800	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186514.322809600	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186524.148044400	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186534.188268600	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186544.054745400	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186553.808952300	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186563.618058600	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186573.351380900	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186583.157164300	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186592.958269300	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186602.740238200	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186612.577428800	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186622.359536300	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186632.099767400	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186641.696312700	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186651.172476000	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186660.618497100	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186670.088703900	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186679.649149800	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186689.148315400	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186698.665069400	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186708.183517000	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186717.684804400	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186727.178752400	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186736.722277900	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	8	1147472	1011720	NA
1789186746.198247200	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	12	1147472	1011720	NA
1789186755.813234400	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	12	1147472	1011720	NA
1789186765.403333600	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	12	1147472	1011720	NA
1789186774.985182700	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	12	1147472	1011720	NA
1789186784.585196600	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	12	1147472	1011720	NA
1789186794.175075400	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	12	1147472	1011720	NA
1789186803.790303700	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	12	1147472	1011720	NA
1789186813.382410900	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	12	1147472	1011720	NA
